,language,name,normalizedGenre,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wordCountText,wordCountSp,wordCountStage,yearNormalized,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
0,FRE,abeille-argelie,Tragedy,29,5,8,4,4,0,0,0,1884,17307,15962,0,1674,4.25,0.6071428571428571,0.822023809523809,8,7,1,17,2,1.392857142857142,0.06547619047619047,0.7416982323232323,0.33814295306639913,0.3793103448275862,0.375,0.6464285714285715,2.0,0.6071428571428571,1.0,0.375,0.25,0.375,8.25,0.375,0.25,0.375,0.0068067743536476145,0.8916309815169778
1,ESP,alarcon-verdad-sospechosa,Comedy,41,3,14,11,3,0,0,1,3306,16919,16461,473,1619,6.571428571428571,0.505494505494505,0.7699649556792411,14,11,1,46,3,1.593406593406593,0.04945054945054945,0.6608466660481829,0.2431203018946239,0.926829268292683,0.5714285714285714,0.6391666666666669,3.0,0.5974025974025974,0.8461538461538461,0.35714285714285715,0.2857142857142857,0.35714285714285715,4.99,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.01754172324796349,0.5493558858726955
2,ITA,amenta-somiglianza,Comedy,67,5,13,9,4,0,0,2373,0,34634,33671,1282,1706,10.615384615384617,0.884615384615384,0.9032800532800532,13,12,1,69,2,1.115384615384615,0.01048951048951049,0.9049027895181742,0.27563351492257726,0.19402985074626866,0.7692307692307693,0.629455266955267,3.0,0.8846153846153846,1.0,0.3076923076923077,0.3076923076923077,0.38461538461538464,14.24,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.002502257439542252,0.412395364310773
3,ESP,amescua-esclavo-demonio,0,3,3,23,17,4,2,0,0,3516,18153,17413,742,1605,19.130434782608692,0.8695652173913041,0.931742399476953,23,22,1,220,2,1.130434782608695,0.006211180124223604,0.899261153736857,0.2058518095569877,1.0,0.782608695652174,0.41785714285714287,16.0,0.8695652173913043,1.0,0.34782608695652173,0.2608695652173913,0.391304347826087,5.0,0.34782608695652173,0.30434782608695654,0.34782608695652173,0.01697303766600059,0.32964696154788176
4,ITA,andreini-lo-schiavetto,Comedy,46,5,24,21,2,1,1,1659,40,41485,38458,258,1612,14.083333333333334,0.6123188405797101,0.8599951862722761,24,22,1,169,3,1.391304347826087,0.017786561264822132,0.7399504459354848,0.19152592735089718,0.8695652173913043,0.625,0.6621717480050814,4.0,0.6401515151515151,0.9565217391304348,0.3333333333333333,0.3333333333333333,0.3333333333333333,19.92,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.004264590839686544,0.6689282106477303
5,GER,anonym-lustig-pickelherings-spiel,Comedy,2,2,3,2,1,0,0,63,63,3855,3820,194,1620,2.0,1.0,1.0,3,2,1,3,1,1.0,0.0,1.0,0.5773502691896258,0.5,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,29.27,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
6,GER,anonym-macht-kleines-knaben,Comedy,21,5,7,4,2,1,0,0,383,14899,14673,535,1630,4.571428571428571,0.7619047619047611,0.8571428571428571,7,6,1,16,2,1.238095238095238,0.047619047619047616,0.8333333333333334,0.37124886788108347,0.9523809523809523,0.5714285714285714,0.8608333333333335,2.0,0.7619047619047619,1.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,52.17,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0024069935762111518,0.5773502691896257
7,ESP,artieda-los-amantes,Tragedy,16,4,19,12,4,3,0,1,1664,10701,9680,225,1577,8.105263157894736,0.450292397660818,0.7674763832658571,19,14,1,77,3,1.619883040935672,0.03646370829033368,0.6342766714990855,0.2143521268764253,1.0,0.3684210526315789,0.8197619047619047,4.0,0.5789473684210525,0.7777777777777778,0.3157894736842105,0.3157894736842105,0.3684210526315789,6.05,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.013261517383280436,0.5772637843389011
8,ENG,bailey-the-spiteful-sister,0,5,5,51,37,11,3,3,485,1567,19376,17985,1064,1667,31.607843137254903,0.6321568627450981,0.8820613872891461,51,50,1,806,2,1.367843137254902,0.007507002801120444,0.749090394812383,0.13459103135110348,1.0,0.5882352941176471,0.5719292803970223,4.0,0.5789473684210525,0.7777777777777778,0.3157894736842105,0.3157894736842105,0.3684210526315789,6.05,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.013261517383280436,0.5772637843389011
9,ESP,bances-esclavo-grillos,0,3,3,21,15,5,1,1,0,3890,18702,18175,529,1692,19.33333333333333,0.966666666666666,0.97719298245614,21,20,1,203,2,1.033333333333333,0.0017543859649122803,0.9717813051146384,0.21765909531709074,0.6666666666666666,0.6190476190476191,0.36547619047619045,16.0,0.9666666666666666,1.0,0.3333333333333333,0.09523809523809523,0.5714285714285714,4.78,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.2773500981126146
