language;id;author;author_wikidata;title;title_wikidata;genre;year_normalized
GER;1; Jos Murer;Q1704063;Absolom ;n/a;DRA;1565
GER;2; Jos Murer;Q1704063;Hester;n/a;DRA;1567
GER;3; Nicodemus Frischlin;Q72975;Frau Wendelgard ;n/a;COM;1579
GER;4; Bartholomäus Krüger;Q113689;Von dem Anfang und Ende der Welt ;n/a;DRA;1580
GER;5; Martin Hayneccius;Q1382373;Hans Pfriem ;n/a;COM;1582
GER;6; Georg Rollenhagen;Q1505776;Vom reichen Mann und armen Lazaro ;n/a;DRA;1590
GER;7; Heinrich Julius;Q77557;Der Fleischhawer;n/a;DRA;1593
GER;8; Heinrich Julius;Q77557;Von einem ungeratenen Sohn;n/a;TRAG;1594
GER;9; Ludwig Hollonius;Q6699242;Somnium Vitae Humanae ;n/a;DRA;1605
GER;10; Joachim Schlue;Q55133405;Isaac;n/a;COM;1606
GER;11; Martin Rinckart;Q78323;Der Eislebische Christliche Ritter;n/a;COM;1613
GER;12;Anonym;Q4233718;Ein ander lustig Pickelherings Spiel ;n/a;COM;1620
GER;13; Jakob Balde;Q65850;Iocus serius theatralis;n/a;DRA;1629
GER;14; Johann Rist;Q66615;Irenaromachia ;n/a;TGC;1630
GER;15; Johann Rist;Q66615;Perseus ;n/a;TRAG;1634
GER;16; Martin Opitz;Q60946;Judith ;Q108846503;TRAG;1635
GER;17; Andreas Gryphius;Q77214;Absurda Comica. Oder Herr Peter Squenz ;Q333566;COM;1648
GER;18; Daniel Casper von Lohenstein;Q66942;Ibrahim ;n/a;TRAG;1649
GER;19; Andreas Gryphius;Q77214;Cardenio und Celinde;Q42187675;TRAG;1650
GER;20; Johann Georg Schoch;Q1454301;Comoedia Vom Studenten-Leben;n/a;COM;1657
GER;21; Johann Sebastian Mitternacht;Q1696208;Der unglückselige Soldat ;n/a;DRA;1662
GER;22; Daniel Casper von Lohenstein;Q66942;Epicharis ;n/a;TRAG;1665
GER;23; Johann Christian Hallmann;Q98928;Sophia ;n/a;TRAG;1671
GER;24; Christian Weise;Q90798;Baurischer Machiavellus;n/a;COM;1679
GER;25; Christian Weise;Q90798;Masaniello ;n/a;TRAG;1682
GER;26; Joseph Anton Stranitzky;Q85811;Türckisch-bestraffter Hochmuth;n/a;TGC;1685
GER;27; Christian Reuter;Q103304;Der ehrlichen Frau Schlampampe Krankheit und Tod ;n/a;TGC;1696
GER;28; Johann Christian Hallmann;Q98928;Liberata;n/a;TRAG;1699
GER;29; Barthold Feind;Q809288;Das verwirrte Haus Jacob;n/a;DRA;1703
GER;30; Christian Weise;Q90798;Ungleich und gleich gepaarte Liebes-Alliance;n/a;COM;1708
FRA;1; Jean De La Taille;Q1393491;Les Corrivaus;Q3231789;COM;1562
FRA;2; Jacques Bienvenu;Q3158277;Comedie du monde malade et mal pensé;n/a;COM;1568
FRA;3; Robert Garnier;Q113089;Hyppolite;Q3136010;TRAG;1573
FRA;4; Robert Garnier;Q113089;Bradamante;Q64787100;TRAG;1578
FRA;6; Odet de Turnèbe;Q3100336;Les Contents;n/a;COM;1581
FRA;5; Pierre Matthieu;Q3386220;Aman;n/a;TRAG;1588
FRA;7; Simon Belyard;Q3484229;Le Guisien;n/a;DRA;1592
FRA;8; Jean de Virey;Q110953500;La Machabée;n/a;TRAG;1596
