,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,datePremiered,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector
0,abeille-argelie,FRE,Tragedy,1674,8,0.8220238095238095,0.6071428571428571,1.3928571428571428,4.25,2,1678-02-25,7,8,4,4,0,0,1,17,29,5,17307,15962,0,0,1884,0.06547619047619047,0.7416982323232323,0.33814295306639913
1,alarcon-verdad-sospechosa,ESP,Comedy,1619,14,0.7699649556792414,0.5054945054945055,1.5934065934065933,6.571428571428571,3,0,11,14,3,11,0,0,1,46,41,3,16919,16461,473,1,3306,0.04945054945054945,0.6608466660481829,0.2431203018946239
2,amenta-somiglianza,ITA,Comedy,1706,13,0.9032800532800532,0.8846153846153846,1.1153846153846154,10.615384615384617,2,0,12,13,4,9,0,0,1,69,67,5,34634,33743,1242,2375,0,0.01048951048951049,0.9049027895181742,0.27563351492257726
3,amescua-esclavo-demonio,ESP,0,1605,23,0.9317423994769533,0.8695652173913043,1.1304347826086956,19.130434782608692,2,0,22,23,4,17,2,0,1,220,3,3,18153,17413,742,0,3516,0.006211180124223604,0.899261153736857,0.20585180955698776
4,andreini-lo-schiavetto,ITA,Comedy,1612,24,0.8599951862722762,0.6123188405797102,1.391304347826087,14.083333333333334,3,0,22,24,2,21,1,1,1,169,46,5,41485,38458,258,1659,40,0.017786561264822132,0.7399504459354848,0.19152592735089718
5,anonym-lustig-pickelherings-spiel,GER,Comedy,1620,3,1.0,1.0,1.0,2.0,1,0,2,3,1,2,0,0,1,3,2,2,3855,3820,194,63,63,0.0,1.0,0.5773502691896258
6,anonym-macht-kleines-knaben,GER,Comedy,1630,7,0.8571428571428571,0.7619047619047619,1.238095238095238,4.571428571428571,2,0,6,7,2,4,1,0,1,16,21,5,14899,14673,535,0,383,0.047619047619047616,0.8333333333333334,0.37124886788108347
7,artieda-los-amantes,ESP,Tragedy,1577,19,0.767476383265857,0.4502923976608187,1.6198830409356726,8.105263157894736,3,0,14,19,4,12,3,0,1,77,16,4,10701,9680,225,1,1664,0.03646370829033368,0.6342766714990855,0.2143521268764253
8,bailey-the-spiteful-sister,ENG,Comedy,1667,51,0.8820613872891465,0.6321568627450981,1.367843137254902,31.607843137254903,2,0,50,51,11,37,3,3,1,806,5,5,19376,17985,1064,485,1567,0.007507002801120444,0.749090394812383,0.13459103135110353
9,bances-esclavo-grillos,ESP,0,1692,21,0.9771929824561404,0.9666666666666668,1.0333333333333334,19.33333333333333,2,0,20,21,5,15,1,1,1,203,3,3,18702,18175,529,0,3890,0.0017543859649122803,0.9717813051146384,0.21765909531709074
10,barbieri-l-inavertito,ITA,Comedy,1629,13,0.8520479520479521,0.6538461538461539,1.3461538461538465,7.846153846153846,2,0,12,13,3,10,0,1,1,51,72,5,36180,34310,332,1487,20,0.03146853146853147,0.7643987591356012,0.26474760548322607
11,baro-clorise,FRE,Tragicomedy,1634,8,0.9404761904761904,0.8214285714285714,1.1785714285714286,5.75,2,1697-07-10,7,8,3,5,0,0,1,23,27,5,17646,16173,188,0,1939,0.02976190476190476,0.8697916666666666,0.34385181724412706
12,baron-mirza,ENG,Tragedy,1655,27,0.9323277205885904,0.8831908831908832,1.1168091168091168,22.96296296296296,2,0,26,27,9,21,0,5,1,310,5,10,86971,33442,899,534,3708,0.004672364672364672,0.906571866897251,0.19038221427689983
13,barry-ram-alley,ENG,Comedy,1608,22,0.9287018794758732,0.8787878787878788,1.121212121212121,18.454545454545453,2,0,21,22,5,16,1,2,1,203,5,5,22856,22148,407,406,2470,0.0060606060606060615,0.9050686483604372,0.21126177666884893
14,bartolommei-amore-opera-a-caso,ITA,Comedy,1668,8,0.9404761904761904,0.9285714285714286,1.0714285714285714,6.5,2,0,7,8,3,5,0,0,1,26,58,3,22880,22376,395,1159,0,0.011904761904761906,0.9409722222222222,0.3522552353359203
15,belyard-guisien,FRE,Tragedy,1592,12,0.7827260702260702,0.5303030303030303,1.4696969696969695,5.833333333333333,2,0,11,12,5,6,1,3,1,35,5,5,15478,15420,18,0,2017,0.046969696969696974,0.6995289371934109,0.27018704031031376
16,bienvenu-monde-malait,FRE,Comedy,1568,9,1.0,1.0,1.0,8.0,1,0,8,9,0,6,3,0,1,36,4,1,6294,5907,469,0,911,0.0,1.0,0.3333333333333333
17,bonicelli-pantalone-bullo,ITA,Comedy,1688,20,0.7415441176470589,0.2473684210526315,1.7842105263157897,4.7,3,0,17,20,4,16,0,0,1,47,52,3,14748,13237,1619,437,63,0.043567251461988296,0.5755513073527779,0.19426020158329282
18,braunschweig-fleischhawer,GER,Comedy,1593,22,0.6762452194270375,0.2987012987012987,1.87012987012987,6.2727272727272725,3,0,13,22,3,19,0,0,1,69,27,5,16437,16146,670,215,330,0.04350649350649351,0.5485399719101823,0.1904589534776247
19,braunschweig-ungeratenen-sohn,GER,Tragedy,1594,16,0.8109126984126984,0.4916666666666666,1.5083333333333333,7.375,2,0,15,16,4,12,0,0,1,59,49,7,18933,18249,2651,282,123,0.03630952380952382,0.6833307676518884,0.21795214205212093
20,bregolini-pausania,ITA,Tragedy,1679,21,0.4402494331065759,0.3047619047619048,2.0157894736842104,6.095238095238095,5,0,11,21,6,15,0,0,2,64,32,5,16414,16104,68,0,2926,0.04837092731829574,0.4755154585852705,0.17614652774578346
21,campistron-juba,FRE,Tragedy,1685,7,0.7333333333333333,0.5238095238095238,1.5238095238095235,3.142857142857143,3,0,5,7,2,5,0,0,1,11,26,5,10285,10101,0,0,1157,0.10476190476190475,0.6769325912183055,0.3637246674489971
22,castro-mocedades-cid,ESP,0,1605,35,0.8973444855797797,0.6470588235294118,1.3529411764705883,22.0,2,0,34,35,4,31,0,0,1,385,3,3,16672,15858,899,0,3273,0.010695187165775395,0.7612917795844625,0.16299422266835825
23,cecchini-l-amico-tradito,ITA,Comedy,1633,12,0.7886904761904763,0.5909090909090909,1.290909090909091,6.5,2,0,9,12,3,9,0,0,2,39,66,3,13508,12645,666,635,0,0.024242424242424242,0.6615339503040037,0.26653814749260707
24,centlivre-the-man-s-bewitch-d,ENG,Comedy,1709,19,0.9235638114895082,0.7953216374269005,1.2046783625730997,14.31578947368421,2,0,18,19,5,14,0,1,1,136,12,5,26981,24092,716,1073,52,0.012039903680770552,0.8509920310557388,0.2228203147780861
25,cervantes-cerco-numancia,ESP,Tragedy,1585,46,0.9148500049407188,0.3951690821256038,1.6685990338164252,17.782608695652176,3,0,39,46,8,32,6,2,1,409,4,4,16132,15175,1097,0,2458,0.01519543258673694,0.6119047961855905,0.13281505274705901
26,cicognini-mustafa,ITA,0,1663,20,0.780924075924076,0.4473684210526316,1.5163398692810457,8.5,3,0,14,20,3,16,1,0,3,85,56,3,20934,20505,296,824,60,0.023099415204678363,0.552613179346732,0.19295126522111744
27,corneillep-rodogune,FRE,Tragedy,1644,7,0.8476190476190476,0.7619047619047619,1.238095238095238,4.571428571428571,2,0,6,7,3,4,0,0,1,16,26,5,19574,17071,115,0,1889,0.04761904761904761,0.8282312925170068,0.3714438488564362
28,corneillet-mort-d-achille,FRE,Tragedy,1673,8,0.6125,0.4642857142857143,1.6428571428571428,3.25,3,1673-12-29,6,8,4,4,0,0,1,13,25,5,16306,16103,9,0,1781,0.10714285714285714,0.6340945512820513,0.32952927871388554
29,cruz-empenos-casa,ESP,Comedy,1683,18,0.9477124183006538,0.8954248366013072,1.1045751633986929,15.22222222222222,2,0,17,18,2,8,8,3,1,137,3,3,18334,17951,443,0,3498,0.006535947712418301,0.9176608187134503,0.23320945202328394
30,dalibray-soliman,FRE,Tragicomedy,1637,16,0.8188148656898656,0.55,1.45,8.25,2,0,13,16,3,13,0,0,1,66,31,5,24694,15313,0,0,1749,0.03214285714285714,0.7084494815712846,0.2347658263697069
31,dancourt-chevalier-a-la-mode,FRE,Comedy,1687,11,0.8501443001443001,0.6363636363636364,1.3636363636363635,6.363636363636363,2,0,10,11,4,7,0,0,1,35,47,5,24226,23795,59,1041,8,0.04040404040404041,0.7574903557523879,0.28744031342647314
32,dancourt-parisienne,FRE,Comedy,1691,9,0.8888888888888888,0.8055555555555556,1.1944444444444444,6.444444444444445,2,1691-06-13,8,9,3,6,0,0,1,29,25,1,7980,7760,9,449,0,0.027777777777777776,0.8592592592592593,0.3279440495557102
33,daniel-cleopatra,ENG,Tragedy,1594,13,0.3692307692307692,0.2051282051282051,1.763157894736842,2.4615384615384617,4,0,5,13,1,9,1,1,3,16,12,5,14838,12458,3,0,1589,0.0337995337995338,0.2920894669882524,0.21029685566840758
34,daniel-philotas,ENG,Tragedy,1605,25,0.7661645021645022,0.3133333333333333,2.036666666666666,7.52,4,0,15,25,2,21,1,2,1,94,12,5,18836,17373,66,0,2134,0.04507246376811594,0.5079718034848192,0.15476050632943275
35,de-dottori-aristodemo,ITA,Tragedy,1657,12,0.6765873015873017,0.4545454545454545,1.6515151515151516,5.0,3,0,8,12,4,7,1,1,1,30,34,5,18682,18472,98,0,3113,0.06515151515151515,0.6288723393629,0.26336313042633225
36,decio-acripanda,ITA,Tragedy,1592,12,0.744973544973545,0.3636363636363636,1.5636363636363635,4.0,2,0,10,12,5,6,1,2,2,24,26,5,29653,29482,76,0,4462,0.04696969696969696,0.5482854563736916,0.25858299759650366
37,dekker-if-it-be-not-good-the-devil-is-in-it,ENG,Comedy,1611,53,0.8636841803338773,0.4462989840348331,1.565312046444122,23.20754716981132,3,0,50,53,2,44,6,5,1,615,10,0,24829,22983,778,129,2499,0.011084549930276903,0.6535011061392457,0.12553867072664018
38,dekker-the-noble-spanish-soldier,ENG,Tragedy,1622,20,0.940578775369797,0.8947368421052632,1.105263157894737,17.0,2,0,19,20,2,18,0,0,1,170,14,5,15647,14954,435,139,1579,0.005847953216374269,0.9164297739297739,0.22122297621574163
39,della-porta-carbonaria,ITA,Comedy,1601,12,0.8237433862433864,0.6363636363636364,1.393939393939394,7.0,3,0,10,12,1,11,0,0,1,42,38,5,28536,28279,127,1212,0,0.03939393939393939,0.7400712652357389,0.27594988945289733
40,denham-the-sophy,ENG,Tragedy,1642,22,0.8704047430194349,0.7056277056277056,1.2943722943722944,14.818181818181818,2,0,21,22,2,19,0,2,1,163,6,5,19621,19105,381,0,2414,0.014718614718614718,0.7951977464921728,0.2071692613199624
41,diamante-hercules-ocana,ESP,0,1670,39,0.8737149326515843,0.2645074224021592,1.736842105263158,10.051282051282053,3,0,37,39,6,23,10,2,1,196,17,3,16625,16143,717,0,3365,0.019914651493598865,0.5865788891662511,0.14267513854024225
42,dolce-marianna,ITA,Tragedy,1565,15,0.7168294668294668,0.3333333333333333,1.6857142857142855,4.666666666666667,3,0,13,17,5,11,1,1,1,35,23,5,23356,21966,66,0,3092,0.052747252747252754,0.6094260400164291,0.23024832496722947
43,du-ryer-clitophon,FRE,Tragicomedy,1629,25,0.6735917415917414,0.22,2.1566666666666667,5.28,5,0,16,25,4,21,0,0,1,66,58,0,17667,17064,0,0,1968,0.050289855072463766,0.48101637793148627,0.16802089417294383
44,duffett-the-mock-tempest,ENG,0,1675,31,0.9403146353090736,0.535483870967742,1.464516129032258,16.06451612903226,2,0,30,33,12,13,8,4,1,249,11,5,18179,16353,1020,636,457,0.016017797552836482,0.6962028483850116,0.16019102431063656
45,fane-the-sacrifice,ENG,Tragedy,1687,20,0.9194399554693676,0.8,1.2,15.2,2,0,19,20,3,16,1,1,1,152,5,0,21632,19171,585,12,2266,0.01111111111111111,0.8519627564464521,0.21754774444063318
46,feinde-verwirrte-haus-jacob,GER,0,1703,19,0.7284221626326889,0.3567251461988304,1.8538011695906436,6.421052631578948,4,0,14,19,2,17,0,0,1,61,32,3,13948,13121,877,636,0,0.05022359821121431,0.5644514811846416,0.19603185374316576
47,fiorillo-la-lucilla-costante,ITA,Comedy,1609,12,1.0,1.0,1.0,11.0,1,0,11,12,3,9,0,1,1,66,79,5,37664,36152,443,1477,70,0.0,1.0,0.28867513459481287
48,fletcher-a-wife-for-a-month,ENG,Tragicomedy,1624,32,0.8835482523142248,0.6532258064516129,1.346774193548387,20.25,2,0,31,32,7,24,0,1,1,324,5,4,23113,22618,376,27,2653,0.011559139784946238,0.7626770627647849,0.17126158555239576
49,frischlin-fraw-wendelgard,GER,Comedy,1579,8,0.8559523809523809,0.6428571428571429,1.3571428571428572,4.5,2,0,7,8,2,6,0,0,1,18,15,5,10884,9306,43,0,1474,0.059523809523809514,0.7608585858585859,0.34300701056230537
50,fulwel-like-will-to-like,ENG,0,1568,15,0.9022177822177824,0.780952380952381,1.2190476190476192,10.933333333333334,2,0,14,15,0,10,5,0,1,82,3,0,13007,11877,580,124,1081,0.01684981684981685,0.8382093796582961,0.2515504291030355
51,garnier-bradamante,FRE,Tragicomedy,1582,16,0.676722582972583,0.3416666666666667,1.723809523809524,5.125,3,0,11,16,3,13,0,1,2,41,24,0,19284,17760,0,0,2015,0.04523809523809524,0.5312200416409207,0.2093558960606104
52,garnier-hippolyte,FRE,Tragedy,1573,8,0.7166666666666667,0.5357142857142857,1.2857142857142858,3.75,2,0,6,8,3,5,0,1,2,15,9,5,19323,19291,17,0,2508,0.03571428571428571,0.6007653061224489,0.3241982707638813
53,gascoigne-the-glass-of-government,ENG,Tragedy,1575,18,0.701948976948977,0.477124183006536,1.5073529411764706,8.11111111111111,3,0,13,18,3,15,0,1,2,73,37,5,29677,26245,326,427,287,0.028186274509803922,0.6059963882810973,0.21290673122607942
54,gigli-i-litiganti,ITA,Comedy,1695,13,0.8035409035409037,0.6923076923076923,1.3333333333333333,8.307692307692308,3,0,10,13,3,10,0,0,1,54,47,3,23326,22918,640,1195,52,0.030303030303030304,0.7679720400746111,0.2684170335561717
55,gigli-pazzo-guarisce,ITA,Comedy,1687,10,1.0,1.0,1.0,9.0,1,0,9,10,2,8,0,0,1,45,52,3,21953,21183,985,1306,8,0.0,1.0,0.31622776601683794
56,gilbert-telephonte,FRE,Tragicomedy,1645,12,0.6027777777777777,0.303030303030303,2.1515151515151514,3.333333333333333,4,0,6,12,4,8,0,0,1,20,22,5,14738,14374,0,0,1642,0.11515151515151514,0.48256340579710144,0.24712390454812652
57,giusti-irene,ITA,Tragedy,1579,12,0.7759559884559885,0.5909090909090909,1.4090909090909092,6.5,2,0,11,12,4,8,0,2,1,39,5,5,14572,14465,61,0,2122,0.0409090909090909,0.7301222198281022,0.27426817249100904
58,graziani-cromuele,ITA,Tragedy,1671,14,0.7286281179138322,0.4395604395604395,1.6703296703296704,5.714285714285714,3,0,10,14,5,9,0,0,1,40,50,5,32370,31961,175,0,5074,0.055860805860805864,0.6219704414946756,0.24082275328726874
59,gryphius-absurda-comica-oder-herr-peter-squentz,GER,Comedy,1658,14,0.935897435897436,0.8461538461538461,1.1538461538461535,11.0,2,0,13,14,3,11,0,0,1,77,3,3,9535,9162,562,266,476,0.012820512820512822,0.8833333333333333,0.2624887372456093
60,gryphius-cardenio-und-celinde,GER,Tragedy,1657,17,0.8663042839513428,0.5735294117647058,1.4411764705882353,9.176470588235292,3,0,15,17,3,11,3,1,1,78,5,5,19774,17542,214,0,2069,0.029411764705882353,0.7155203370654399,0.22442923823887873
61,guarini-la-idropica,ITA,Comedy,1584,18,0.6792667209333876,0.3594771241830065,1.712418300653595,6.111111111111111,3,0,13,18,5,13,0,0,1,55,50,5,37324,35743,149,1460,17,0.04452614379084967,0.6025493441838764,0.21146780200726512
62,guidi-endimione,ITA,0,1691,5,0.9,0.9,1.1,3.6,2,0,4,5,2,2,1,2,1,9,5,5,8005,6981,0,0,1215,0.03333333333333333,0.92,0.4452760486658011
63,hallmann-liberata,GER,Tragedy,1699,24,0.4739087301587301,0.1775362318840579,2.104761904761905,4.083333333333333,4,0,14,24,6,12,6,1,4,49,59,5,21393,18108,651,88,2108,0.03820816864295125,0.37656371665988775,0.1519216430930713
64,hallmann-sophia,GER,Tragedy,1671,72,0.9200186117993022,0.1564945226917058,1.948015122873346,11.11111111111111,4,0,26,72,13,32,26,4,5,400,26,5,21906,19170,781,0,2247,0.005605857366420748,0.22815220670408415,0.07832072056505185
65,hardy-meleagre,FRE,Tragedy,1604,19,0.8199376646745067,0.3567251461988304,1.8011695906432748,6.421052631578948,4,0,14,19,4,12,3,4,1,61,12,0,10989,10563,44,0,1257,0.04712762297901617,0.5722840911478391,0.19944693525611334
