id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource/0,digitalSource/1,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
fre000001,abeille-argelie,abeille-argelie,Q63215430,Tragedy,false,Abeille,"Argélie, Reine de Thessalie",Tragédie,0,ismene,29,5,8,4,4,0,0,0,1884,0,17307,15962,0,,1678,1674,1674,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_ARGELIE.xml,http://theatre-classique.fr/pages/documents/ABEILLE_ARGELIE.xml,,,,,4.25,0.6071428571428571,0.8220238095238095,8,7,1,17,2,1.3928571428571428
span######,alarcon-verdad-sospechosa,alarcon-verdad-sospechosa,,Comedy,false,Ruiz de Alarcón y Mendoza,La verdad sospechosa,,0,garcia|tristan,41,3,14,11,3,0,0,1,3306,,16919,16461,473,1619,,,1619,,,,,,,6.571428571428571,0.5054945054945055,0.7699649556792414,14,11,1,46,3,1.5934065934065933
ita######,amenta-somiglianza,amenta-somiglianza,,Comedy,false,Amenta,La somiglianza,,0,several characters,67,5,13,9,4,0,0,2373,0,,34634,33671,1282,,,1706,1706,https://books.google.de/books?id=nfwwhgTh1iYC,,,,,,10.615384615384615,0.8846153846153846,0.9032800532800531,13,12,1,69,2,1.1153846153846154
span######,amescua-esclavo-demonio,amescua-esclavo-demonio,,,false,Mira de Amescua,El esclavo del demonio,,0,several characters,3,3,23,17,4,2,0,0,3516,,18153,17413,742,1605,,,1605,,,,,,,19.130434782608695,0.8695652173913043,0.9317423994769531,23,22,1,220,2,1.1304347826086956
ita000020,andreini-lo-schiavetto,andreini-lo-schiavetto,Q83893270,Comedy,false,Andreini,Lo schiavetto,,0,nottola,46,5,24,21,2,1,1,1659,40,0,41485,38458,258,,,1612,1612,http://www.bibliotecaitaliana.it/testo/bibit001590,,UTET,Torino,1982,,14.083333333333334,0.6123188405797102,0.8599951862722762,24,22,1,169,3,1.391304347826087
ger######,anonym-lustig-pickelherings-spiel,anonym-lustig-pickelherings-spiel,,Comedy,false,Anonym,Ein ander lustig Pickelherings Spiel,,0,fraw|hans|wilhelm,2,2,3,2,1,0,0,63,63,,3855,3820,194,,,1620,1620,http://www.textgridrep.org/textgrid:jnhh.0,,,,,,2,1,1,3,2,1,3,1,1
ger#######,anonym-macht-kleines-knaben,anonym-macht-kleines-knaben,,Comedy,false,(Anonym),Comoedia von Macht des kleinen Knaben Cupidinis,,0,jucunda|hans-wurst|florettus,21,5,7,4,2,1,0,0,383,,14899,14673,535,,,1630,1630,https://doi.org/10.1515/9783110842968,,,,,,4.571428571428571,0.7619047619047619,0.8571428571428571,7,6,1,16,2,1.2380952380952381
span######,artieda-los-amantes,artieda-los-amantes,,Tragedy,false,Rey de Artieda,Los amantes,,0,marcilla|marido_sigura,16,4,19,12,4,3,0,1,1664,,10701,9680,225,1577,,,1577,,,,,,,8.105263157894736,0.4502923976608187,0.767476383265857,19,14,1,77,3,1.6198830409356726
ep000460,bailey-the-spiteful-sister,bailey-the-spiteful-sister,,,false,Bailey,The Spiteful Sister,,0,several characters,5,5,51,37,11,3,3,485,1567,,19376,17985,1064,,,1667,1667,https://texts.earlyprint.org/works/A29360.xml,,,,,,31.607843137254903,0.6321568627450981,0.8820613872891465,51,50,1,806,2,1.367843137254902
span######,bances-esclavo-grillos,bances-esclavo-grillos,,,false,Bances Candamo,El esclavo en grillos de oro,,0,several characters,3,3,21,15,5,1,1,0,3890,,18702,18175,529,,1692,,1692,https://dadun.unav.edu/bitstream/10171/43969/1/BIADIG44_Bances.pdf,,,,,,19.333333333333332,0.9666666666666667,0.9771929824561403,21,20,1,203,2,1.0333333333333334
ita000042,barbieri-l-inavertito,barbieri-l-inavertito,Q83893963,Comedy,false,Barbieri,L'inavertito,,0,scappino,72,5,13,10,3,0,1,1487,20,0,36180,34310,332,1629,,,1629,http://www.bibliotecaitaliana.it/testo/bibit001564,,UTET,Torino,1982,,7.846153846153846,0.6538461538461539,0.8520479520479521,13,12,1,51,2,1.3461538461538463
fre000081,baro-clorise,baro-clorise,,Tragicomedy,false,Baro,La Clorise,Pastorale,0,alidor|philidan,27,5,8,5,3,0,0,0,1939,,17646,16173,188,,1697,1634,1634,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARO_CLORISE.xml,http://theatre-classique.fr/pages/documents/BARO_CLORISE.xml,,,,,5.75,0.8214285714285714,0.9404761904761905,8,7,1,23,2,1.1785714285714286
ep000481,baron-mirza,baron-mirza,,,false,Baron,Mirza,,0,ep000481-beltazar|ep000481-pages|ep000481-mirza,5,10,27,21,9,0,5,534,3708,,86971,33442,899,,,1655,1655,https://texts.earlyprint.org/works/A31023.xml,,,,,,22.962962962962962,0.8831908831908832,0.9323277205885904,27,26,1,310,2,1.1168091168091168
