,name,id,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
0,alexander-caesar,ep000318,Tragedy,1604,11,0.4787878787878787,0.3818181818181818,1.6,3.8181818181818175,3,6,11,3,8,0,1,2,21,9,5,26908,21407,48,33,2584,0.05454545454545455,0.5245480255039079,0.2664899036583158,1.0,0.2727272727272727,0.8842261904761903,3.0,0.6363636363636364,0.6,0.36363636363636365,0.09090909090909091,0.5454545454545454,303.5805294486216,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.010635972299007625,0.6733003292241385
1,alexander-croesus,ep000315,Tragedy,1604,11,0.701948051948052,0.3272727272727272,1.5135135135135136,3.272727272727273,2,8,11,1,10,0,1,2,18,9,5,24397,20156,28,10,2422,0.03838383838383839,0.4598976780794963,0.25195437002211646,1.0,0.2727272727272727,0.725,3.0,0.4090909090909091,0.8,0.36363636363636365,0.2727272727272727,0.36363636363636365,217.0728447678912,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.04055286660923211,0.9913251372940636
2,alexander-darius,ep000316,Tragedy,1603,14,0.7333333333333333,0.2747252747252747,2.4285714285714284,3.571428571428572,5,6,14,0,0,0,0,1,25,9,5,19153,14453,33,45,1683,0.11904761904761904,0.4249693610175472,0.22910375350219728,1.0,0.21428571428571427,0.9291666666666666,3.0,0.5952380952380952,0.46153846153846156,0.35714285714285715,0.07142857142857142,0.5714285714285714,96.53621620363907,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.04690373488444113,0.6668584573287921
3,alexander-the-alexandraean-tragedy,ep000317,Tragedy,1605,16,0.6452380952380952,0.2916666666666667,1.7721518987341771,4.375,4,10,16,2,14,0,1,3,35,9,5,28756,23337,36,23,2817,0.03630952380952381,0.3902518508547584,0.19864010054176193,1.0,0.4375,1.0,3.0,0.4375,0.6666666666666666,0.3125,0.1875,0.5,294.3007963051441,0.3125,0.3125,0.375,0.03352696545103437,0.8851404429086565
4,anon-a-knack-to-know-a-knave,ep000117,Comedy,1592,29,1.0,1.0,1.0,28.0,1,28,29,2,27,0,0,1,406,1,0,17196,16874,247,71,1654,0.0,1.0,0.18569533817705178,1.0,1.0,0.0,29.0,1.0,1.0,0.0,0.0,1.0,44.23454760812058,0.3448275862068966,0.3103448275862069,0.3448275862068966,0.0,0.0
5,anon-a-larum-for-london,ep000129,0,1602,38,0.9736842105263158,0.9473684210526316,1.0,35.05263157894737,1,36,38,5,33,1,2,2,666,2,0,13639,13036,504,20,1531,0.0,0.9473684210526316,0.16007270047412914,1.0,0.02631578947368421,1.0,19.0,0.9736842105263158,0.972972972972973,0.02631578947368421,0.0,0.9736842105263158,29.690003623827153,0.34210526315789475,0.3157894736842105,0.34210526315789475,0.0,0.0
6,anon-alphonsus-emperor-of-germany,ep000485,Tragedy,1594,19,0.92781217750258,0.8771929824561403,1.1228070175438596,15.789473684210526,2,18,19,2,17,0,1,1,150,5,5,22106,21239,678,81,2409,0.007223942208462333,0.9048475070635735,0.2268291465264555,1.0,0.47368421052631576,0.3400735294117647,12.0,0.8771929824561403,1.0,0.3157894736842105,0.3157894736842105,0.3684210526315789,21.25378155969502,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.003311108876912203,0.36363342639806684
7,anon-arden-of-faversham,ep000393,Tragedy,1590,18,1.0,1.0,1.0,17.0,1,17,18,2,16,0,0,1,153,1,0,21146,20507,548,330,2087,0.0,1.0,0.2357022603955158,1.0,1.0,0.0,18.0,1.0,1.0,0.0,0.0,1.0,26.819686963911273,0.0,0.0,0.0,0.0,0.0
8,anon-band-cuff-and-ruff,ep000081,Comedy,1615,3,1.0,1.0,1.0,2.0,1,2,3,0,3,0,0,1,3,1,0,1786,1715,18,79,0,0.0,1.0,0.5773502691896258,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,20.214949494949494,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
9,anon-caesar-and-pompey,ep000815,Tragedy,1592,28,0.8769131022752209,0.7354497354497355,1.2645502645502646,19.857142857142858,2,27,28,3,23,2,1,1,278,24,5,20004,19275,286,0,2450,0.010175010175010173,0.8059085609134103,0.18543706653607717,0.8333333333333334,0.25,0.8764810577167558,6.0,0.7354497354497355,1.0,0.32142857142857145,0.32142857142857145,0.35714285714285715,59.97919936386993,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.003451297734028047,0.38552527333829534
