,name,id,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
0,abeille-argelie,fre000001,Tragedy,1674,8,0.8220238095238095,0.6071428571428571,1.3928571428571428,4.25,2.0,7.0,8,4,4,0,0,1.0,17.0,29,5,17307,15962,0,0,1884,0.06547619047619047,0.7416982323232323,0.33814295306639913,0.3793103448275862,0.375,0.6464285714285715,2.0,0.6071428571428571,1.0,0.375,0.25,0.375,56.12594233037345,0.375,0.25,0.375,0.0068067743536476145,0.8916309815169778
1,abeille-coriolan,fre000002,Tragedy,1676,7,0.7238095238095238,0.5714285714285714,1.2,3.4285714285714284,2.0,5.0,7,3,3,1,0,2.0,12.0,23,0,17041,14655,0,0,1711,0.028571428571428567,0.6065759637188209,0.3462532369265206,0.8695652173913043,0.42857142857142855,0.6439393939393939,2.0,0.6857142857142857,0.8333333333333334,0.2857142857142857,0.2857142857142857,0.42857142857142855,72.3567515797881,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.014761039545216115,0.6799001036500849
2,abeille-lyncee,fre000003,Tragedy,1678,7,0.6952380952380952,0.6190476190476191,1.380952380952381,3.7142857142857135,2.0,6.0,7,3,4,0,0,1.0,13.0,26,5,13732,13539,7,0,1563,0.07619047619047618,0.75139146567718,0.35907150351119715,0.7692307692307693,0.2857142857142857,0.6233333333333334,2.0,0.6190476190476191,1.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,55.71460023139691,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.011817515566118531,0.9733285267845753
3,anomyme-dialogue-de-la-prude-et-de-la-coquette,fre001504,0,1659,2,0.0,1.0,1.0,1.0,1.0,1.0,2,2,0,0,0,1.0,1.0,1,0,6394,5012,496,42,42,0.0,1.0,0.7071067811865476,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,109.82142857142857,0.5,0.0,0.5,0.0,0.0
4,anonyme-chapelain-decoiffe-2,fre000021,0,1666,2,0.0,1.0,1.0,1.0,1.0,1.0,2,0,2,0,0,1.0,1.0,2,1,1459,1358,30,0,129,0.0,1.0,0.7071067811865476,0.5,0.5,0.5,2.0,1.0,1.0,0.0,0.0,1.0,36.3,0.5,0.0,0.5,0.0,0.0
5,anonyme-chapelain-decoiffe,fre000020,0,1666,3,1.0,1.0,1.0,2.0,1.0,2.0,3,0,3,0,0,1.0,3.0,5,1,2432,2312,0,0,266,0.0,1.0,0.5773502691896258,0.6,0.6666666666666666,0.5,2.0,1.0,1.0,0.0,0.0,1.0,33.24315880198233,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
6,anonyme-d-alcippe-et-de-drionice,fre001502,0,1659,2,0.0,1.0,1.0,1.0,1.0,1.0,2,0,1,1,0,1.0,1.0,1,0,1272,1214,100,16,0,0.0,1.0,0.7071067811865476,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,73.08928571428572,0.5,0.0,0.5,0.0,0.0
7,anonyme-deroute-des-precieuses,fre000023,0,1659,7,0.0,0.0476190476190476,1.0,0.2857142857142857,1.0,1.0,7,0,3,4,0,6.0,1.0,6,0,1165,627,486,0,79,0.0,0.047619047619047616,0.20203147226606083,1.0,0.14285714285714285,1.0,1.0,0.2857142857142857,0.16666666666666666,0.0,0.0,1.0,68.14285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.049999666215580864,0.0
8,anonyme-dialogue-des-yeux-et-de-la-bouche,fre001503,0,1659,2,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,2,0,1.0,1.0,1,0,2175,2125,118,22,0,0.0,1.0,0.7071067811865476,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,88.54545454545455,0.5,0.0,0.5,0.0,0.0
9,anonyme-reception-argenson,fre000032,0,1658,13,1.0,0.5384615384615384,1.0,6.461538461538462,1.0,8.0,13,0,5,8,0,2.0,42.0,3,1,1969,1782,72,16,40,0.0,0.5384615384615384,0.2307697656493797,1.0,0.6923076923076923,1.0,5.0,0.8076923076923077,0.6666666666666666,0.3076923076923077,0.0,0.6923076923076923,80.46794871794872,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.039999698684095454,0.0
