name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"plautus-amphitruo","rom000021","Q475025","Plautus","0","Amphitruo","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi001","","","","","-186","7","false","0.7571428571428571","0.7142857142857143","1.2857142857142858","amphitruo","4.285714285714286","2","-0207/-0186","","6","7","2","5","0","","1","15","","15","15","6","9992","9927","0","0","1413"
"plautus-asinaria","rom000017","Q669022","Plautus","0","Asinaria","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi002","","","","","-211","12","false","0.6503968253968254","0.3939393939393939","1.690909090909091","argyrippus|philaenium","4.333333333333333","4","-0211","","8","12","3","8","1","","2","26","","15","9","6","8221","8201","0","0","1187"
"plautus-aulularia","rom000014","Q1234585","Plautus","0","Aulularia","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi003","","","","","-190","11","false","0.5181818181818181","0.2727272727272727","2.066666666666667","euclio","2.727272727272727","4","-0194/-0190","","5","11","3","8","0","","2","15","","29","12","6","6999","6935","0","0","1021"
"plautus-bacchides","rom000024","Q798026","Plautus","0","Bacchides","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi004","","","","","-189","11","false","0.5484848484848485","0.41818181818181815","1.6727272727272726","pistoclerus|philoxenus|nicobulus","4.181818181818182","3","-0189","","6","11","2","9","1","","1","23","","23","9","6","10286","10027","0","0","1554"
"plautus-captivi","rom000011","Q1035171","Plautus","0","Captivi","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi005","","","","","-188","13","false","0.7165445665445666","0.28205128205128205","1.6363636363636365","hegio","3.3846153846153846","3","-0194/-0188","","9","13","0","12","1","","3","22","","19","10","6","8814","8790","0","0","1248"
"plautus-casina","rom000034","Q1216194","Plautus","0","Casina","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi006","","","","","-186","9","false","0.7507936507936508","0.5","1.3571428571428572","lysidamus","4","2",">-0186","","7","9","3","6","0","","2","18","","24","8","6","7861","7832","0","0","1277"
"plautus-cistellaria","rom000025","Q617142","Plautus","0","Cistellaria","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi007","","","","","-201","13","false","0.8106227106227106","0.3717948717948718","1.8333333333333333","melaenis","4.461538461538462","3","<-0201","","8","13","6","6","1","","2","29","","10","7","5","5377","5264","0","0","839"
"plautus-curculio","rom000023","Q1215764","Plautus","0","Curculio","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi008","","","","","-193","10","false","0.7171428571428572","0.5111111111111111","1.3888888888888888","phaedromus|cappadox","4.6","3","-0193","","7","10","2","8","0","","2","23","","14","8","5","6258","6239","0","0","996"
"plautus-epidicus","rom000032","Q1218984","Plautus","0","Epidicus","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi009","","","","","-194","14","false","0.7712585034013605","0.25274725274725274","2.021978021978022","epidicus|periphanes","3.2857142857142856","3","-0195/-0194","","8","14","4","10","0","","1","23","","13","7","5","6576","6558","0","0","1071"
"plautus-menaechmi","rom000006","Q1240100","Plautus","0","Menaechmi","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi010","","","","","-215","12","false","0.6160714285714285","0.3787878787878788","1.6","menaechmus|sosicles","4.166666666666667","3","<-0215","","8","12","3","9","0","","2","25","","23","14","6","9621","9593","0","0","1457"
"plautus-mercator","rom000033","Q972126","Plautus","0","Mercator","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi011","","","","","-211","10","false","0.5285714285714286","0.35555555555555557","1.9111111111111112","lysimachus","3.2","4",">-0211","","7","10","2","8","0","","1","16","","20","8","5","8774","8749","0","0","1415"
"plautus-miles-gloriosus","rom000027","Q1230918","Plautus","0","Miles Gloriosus","","","http://data.perseus.org/texts/urn:cts:latinLit:phi0119.phi012","","","","","-205","13","false","0.5552503052503053","0.358974358974359","1.7179487179487178","pyrgopolynices","4.3076923076923075","3","-0205","","10","13","3","10","0","","1","28","","20","18","5","12825","12800","0","0","1937"
